U	I
-0.470000000000084	-8.3e-07
-0.460000000000084	-8.3e-07
-0.450000000000084	-8.3e-07
-0.440000000000084	-8.3e-07
-0.430000000000084	-8.2e-07
-0.420000000000084	-8.2e-07
-0.410000000000084	-8.2e-07
-0.400000000000084	-8.2e-07
-0.390000000000084	-8.2e-07
-0.380000000000084	-8.1e-07
-0.370000000000084	-8.1e-07
-0.360000000000084	-8.1e-07
-0.350000000000084	-8.1e-07
-0.340000000000084	-8.1e-07
-0.330000000000084	-8e-07
-0.320000000000084	-8e-07
-0.310000000000084	-8e-07
-0.300000000000084	-7.9e-07
-0.290000000000084	-7.9e-07
-0.280000000000084	-7.9e-07
-0.270000000000084	-7.9e-07
-0.260000000000084	-7.8e-07
-0.250000000000084	-7.9e-07
-0.240000000000084	-7.8e-07
-0.230000000000084	-7.8e-07
-0.220000000000084	-7.8e-07
-0.210000000000084	-7.7e-07
-0.200000000000084	-7.7e-07
-0.190000000000084	-7.7e-07
-0.180000000000084	-7.6e-07
-0.170000000000084	-7.6e-07
-0.160000000000084	-7.6e-07
-0.150000000000084	-7.5e-07
-0.140000000000084	-7.5e-07
-0.130000000000084	-7.4e-07
-0.120000000000084	-7.3e-07
-0.110000000000084	-7.3e-07
-0.100000000000084	-7.2e-07
-0.0900000000000836	-7e-07
-0.0800000000000836	-6.8e-07
-0.0700000000000836	-6.6e-07
-0.0600000000000836	-6.2e-07
-0.0500000000000836	-5.8e-07
-0.0400000000000836	-5.1e-07
-0.0300000000000836	-3.7e-07
-0.0200000000000836	-2.2e-07
-0.0100000000000836	3e-08
-8.3624079882938e-14	3.5e-07
0.00999999999991638	8.3e-07
0.0199999999999164	1.57e-06
0.0299999999999164	2.51e-06
0.0399999999999164	4.3e-06
0.0499999999999164	6.45e-06
0.0599999999999164	9.69e-06
0.0699999999999164	1.446e-05
0.0799999999999164	2.09e-05
0.0899999999999164	3e-05
0.0999999999999164	4.51e-05
0.109999999999916	7.37e-05
0.119999999999916	0.0001065
0.129999999999916	0.00015
0.139999999999916	0.000217
0.149999999999916	0.000302
0.159999999999916	0.000433
0.169999999999916	0.000703
0.179999999999916	0.00101
0.189999999999916	0.001435
0.199999999999916	0.00198
0.209999999999916	0.00283
0.219999999999916	0.00411
0.229999999999916	0.00577
0.239999999999916	0.00899
0.249999999999916	0.01212
